,accuracy,auroc,auprc,f1,precision,recall,embedding_level,layer,k
1,0.5,0.5,0.5,0.0,0.0,0.0,token_text,7,3
2,0.72,0.8848,0.8787383481734066,0.6818181818181818,0.7894736842105263,0.6,token_text,14,3
3,0.94,0.968,0.9781034482758622,0.9361702127659575,1.0,0.88,token_text,21,3
4,0.74,0.7904,0.7370675278163303,0.7450980392156863,0.7307692307692307,0.76,token_text,28,3
0,0.92,0.9632,0.9686662264749222,0.92,0.92,0.92,sentence_all,0,4
1,0.92,0.9456,0.957421639230335,0.92,0.92,0.92,sentence_all,7,4
2,0.88,0.92,0.9289390224154931,0.8846153846153846,0.8518518518518519,0.92,sentence_all,14,4
3,0.96,1.0,1.0,0.9615384615384616,0.9259259259259259,1.0,sentence_all,21,4
4,1.0,1.0,1.0,1.0,1.0,1.0,sentence_all,28,4
0,0.92,0.9648,0.9703263055263055,0.92,0.92,0.92,sentence_img,0,4
1,0.92,0.9504,0.9610839768926727,0.92,0.92,0.92,sentence_img,7,4
2,0.86,0.9216,0.9320159454924162,0.8571428571428571,0.875,0.84,sentence_img,14,4
3,0.96,1.0,1.0,0.9615384615384616,0.9259259259259259,1.0,sentence_img,21,4
4,0.98,1.0,1.0,0.9803921568627451,0.9615384615384616,1.0,sentence_img,28,4
0,0.5,0.5,0.5,0.0,0.0,0.0,sentence_text,0,4
1,0.62,0.6751999999999999,0.7379927133374126,0.6122448979591837,0.625,0.6,sentence_text,7,4
2,0.98,1.0,1.0,0.9803921568627451,0.9615384615384616,1.0,sentence_text,14,4
3,1.0,1.0,1.0,1.0,1.0,1.0,sentence_text,21,4
4,1.0,1.0,1.0,1.0,1.0,1.0,sentence_text,28,4
0,0.62,0.5599999999999999,0.6581171886669023,0.5365853658536586,0.6875,0.44,token_all,0,4
1,0.62,0.5664,0.6605803136127859,0.5365853658536586,0.6875,0.44,token_all,7,4
2,0.64,0.5616,0.646253881331188,0.5714285714285714,0.7058823529411765,0.48,token_all,14,4
3,0.62,0.5616,0.6498470499880655,0.5581395348837209,0.6666666666666666,0.48,token_all,21,4
4,0.56,0.5728,0.629525247008411,0.45,0.6,0.36,token_all,28,4
0,0.62,0.5599999999999999,0.6581171886669023,0.5365853658536586,0.6875,0.44,token_img,0,4
1,0.62,0.5664,0.6605803136127859,0.5365853658536586,0.6875,0.44,token_img,7,4
2,0.64,0.5616,0.646253881331188,0.5714285714285714,0.7058823529411765,0.48,token_img,14,4
3,0.62,0.5536,0.6409256206899758,0.5581395348837209,0.6666666666666666,0.48,token_img,21,4
4,0.54,0.5552,0.6105663922970996,0.43902439024390244,0.5625,0.36,token_img,28,4
0,0.5,0.5,0.5,0.0,0.0,0.0,token_text,0,4
1,0.5,0.5,0.5,0.0,0.0,0.0,token_text,7,4
2,0.84,0.9391999999999999,0.9402724638740974,0.8260869565217391,0.9047619047619048,0.76,token_text,14,4
3,0.9,0.9808,0.9803121561208519,0.8979591836734694,0.9166666666666666,0.88,token_text,21,4
4,0.64,0.7008000000000001,0.6792831879291918,0.6666666666666666,0.6206896551724138,0.72,token_text,28,4
